IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
20.204.43.57	80	443	FALSE	BOM	Asia Pacific	Mumbai	209	1.7
4.255.56.137	80	80	FALSE	EWR	North America	Newark	307	1.45
60.205.0.210	80	80	FALSE	NRT	Asia Pacific	Tokyo	61	1.42
204.110.223.177	80	443	TRUE	CMH	North America	Columbus	291	1.36
204.110.221.198	80	443	TRUE	SEA	North America	Seattle	248	1.35
170.106.84.6	80	80	FALSE	SJC	North America	San Jose	222	1.27
52.163.67.59	80	80	FALSE	SIN	Asia Pacific	Singapore	150	1.26
45.249.244.53	80	80	FALSE	LAX	North America	Los Angeles	248	0.85
204.110.223.9	80	443	TRUE	CMH	North America	Columbus	254	0.82
204.110.220.76	80	443	TRUE	SEA	North America	Seattle	221	0.81
204.110.221.109	80	443	TRUE	SEA	North America	Seattle	231	0.75
54.241.64.136	80	443	TRUE	SJC	North America	San Jose	207	0.74
204.110.220.154	80	443	TRUE	SEA	North America	Seattle	251	0.72
204.110.220.219	80	443	TRUE	SEA	North America	Seattle	220	0.68
204.110.223.96	80	443	TRUE	CMH	North America	Columbus	263	0.66
204.110.221.61	80	443	TRUE	SEA	North America	Seattle	255	0.65
204.110.221.147	80	443	TRUE	SEA	North America	Seattle	221	0.65
67.226.222.113	80	443	TRUE	CMH	North America	Columbus	288	0.57
204.110.221.237	80	443	TRUE	SEA	North America	Seattle	223	0.56
204.110.223.216	80	443	TRUE	CMH	North America	Columbus	278	0.56
13.43.218.163	80	443	TRUE	LHR	Europe	London	244	0.54
13.57.241.143	80	443	TRUE	SJC	North America	San Jose	189	0.52
204.110.223.149	80	443	TRUE	CMH	North America	Columbus	288	0.51
204.110.221.97	80	443	TRUE	SEA	North America	Seattle	223	0.5
54.176.142.183	80	443	TRUE	SJC	North America	San Jose	205	0.49
67.226.222.36	80	443	TRUE	CMH	North America	Columbus	261	0.47
204.110.223.46	80	443	TRUE	CMH	North America	Columbus	261	0.46
50.18.77.96	80	443	TRUE	SJC	North America	San Jose	223	0.46
54.170.117.187	80	443	TRUE	DUB	Europe	Dublin	222	0.46
34.93.79.152	80	80	FALSE	BOM	Asia Pacific	Mumbai	250	0.42
18.196.93.254	80	80	FALSE	FRA	Europe	Frankfurt	201	0.41
204.110.220.88	80	443	TRUE	SEA	North America	Seattle	250	0.41
67.226.222.221	80	443	TRUE	CMH	North America	Columbus	289	0.39
3.97.173.206	80	443	TRUE	YUL	North America	Montréal	280	0.36
3.101.123.243	80	443	TRUE	SJC	North America	San Jose	208	0.34
54.153.85.10	80	443	TRUE	SJC	North America	San Jose	217	0.34
67.226.222.31	80	443	TRUE	CMH	North America	Columbus	250	0.33
18.236.13.188	80	443	TRUE	SEA	North America	Seattle	237	0.33
204.110.223.98	80	443	TRUE	CMH	North America	Columbus	269	0.32
204.110.220.2	80	443	TRUE	SEA	North America	Seattle	254	0.32
204.236.186.113	80	443	TRUE	SJC	North America	San Jose	199	0.3
204.110.223.42	80	443	TRUE	CMH	North America	Columbus	251	0.3
204.110.223.129	80	443	TRUE	CMH	North America	Columbus	279	0.27
204.110.220.186	80	443	TRUE	SEA	North America	Seattle	255	0.23
20.119.73.200	80	80	FALSE	EWR	North America	Newark	262	0.22
204.110.223.130	80	443	TRUE	CMH	North America	Columbus	265	0.21
34.160.118.77	80	80	FALSE	LAX	North America	Los Angeles	300	0.2
204.110.223.58	80	443	TRUE	CMH	North America	Columbus	254	0.2
204.110.223.35	80	443	TRUE	CMH	North America	Columbus	282	0.16
204.110.223.255	80	443	TRUE	CMH	North America	Columbus	256	0.14
67.226.222.240	80	443	TRUE	CMH	North America	Columbus	278	0.14
18.175.237.188	80	443	TRUE	LHR	Europe	London	188	0.13
67.226.222.180	80	443	TRUE	CMH	North America	Columbus	250	0.12
18.195.205.127	80	80	FALSE	FRA	Europe	Frankfurt	206	0.1
47.57.245.232	80	80	FALSE	SJC	North America	San Jose	85	0.1
99.80.88.225	80	443	TRUE	DUB	Europe	Dublin	241	0.08
204.110.221.235	80	443	TRUE	SEA	North America	Seattle	259	0.06
204.110.220.37	80	443	TRUE	SEA	North America	Seattle	235	0.06
204.110.221.210	80	443	TRUE	SEA	North America	Seattle	220	0.06
67.226.222.203	80	443	TRUE	CMH	North America	Columbus	253	0.03
204.110.223.88	80	443	TRUE	CMH	North America	Columbus	259	0.02
67.226.222.63	80	443	TRUE	CMH	North America	Columbus	271	0.01
204.110.220.11	80	443	TRUE	SEA	North America	Seattle	221	0
204.110.220.	80	443	TRUE	SJC	North America	San Jose	232	0
18.175.45.253	80	443	TRUE	LHR	Europe	London	257	0
4.255.56.138	80	80	FALSE	EWR	North America	Newark	300	0
18.175.139.231	80	443	TRUE	LHR	Europe	London	235	0
35.177.163.80	80	443	TRUE	LHR	Europe	London	204	0
35.179.107.222	80	443	TRUE	LHR	Europe	London	246	0
35.179.128.75	80	443	TRUE	LHR	Europe	London	232	0
13.40.26.95	80	443	TRUE	LHR	Europe	London	241	0
18.171.238.234	80	443	TRUE	LHR	Europe	London	234	0
154.64.226.138	80	80	FALSE	NRT	Asia Pacific	Tokyo	123	0
172.174.249.255	80	80	FALSE	EWR	North America	Newark	304	0
43.130.99.209	80	80	FALSE	IAD	North America	Ashburn	447	0
204.110.221.167	80	443	TRUE	SEA	North America	Seattle	250	0
204.110.220.168	80	443	TRUE	SEA	North America	Seattle	220	0
204.110.221.100	80	443	TRUE	SEA	North America	Seattle	219	0

